Date,Position,Returns,StrategyReturns,CumulativeReturns
2022-11-30,0,,,
2022-12-01,0,0.011499540139467967,0.0,1.0
2022-12-02,0,0.01932701904651135,0.0,1.0
2022-12-05,0,-0.019183595253744135,-0.0,1.0
2022-12-06,0,0.03229470387816846,0.0,1.0
2022-12-07,0,-0.009473459153071628,-0.0,1.0
2022-12-08,0,0.0064501984304421445,0.0,1.0
2022-12-09,0,-0.025193356677313483,-0.0,1.0
2022-12-13,0,-0.007481338165686746,-0.0,1.0
2022-12-14,0,-0.0077661069453631715,-0.0,1.0
2022-12-15,0,-0.024631669628238262,-0.0,1.0
2022-12-16,0,0.014869036676825154,0.0,1.0
2022-12-19,0,-0.017906987389852858,-0.0,1.0
2022-12-20,1,0.004025621252317313,0.0,1.0
2022-12-21,0,0.008490490157991415,0.008490490157991415,1.0084904901579914
2022-12-22,1,-0.006548147574549135,-0.0,1.0084904901579914
2022-12-23,0,0.010593238413103778,0.010593238413103778,1.0191736703575829
2022-12-26,0,0.013277421168699455,0.0,1.0191736703575829
2022-12-27,0,-0.009195437376526616,-0.0,1.0191736703575829
2022-12-28,0,-0.010208785203859705,-0.0,1.0191736703575829
2022-12-29,0,-0.003516210183202917,-0.0,1.0191736703575829
2022-12-30,0,0.0009409766433012834,0.0,1.0191736703575829
2023-01-02,1,-0.00940065143017077,-0.0,1.0191736703575829
2023-01-03,1,-0.023724791549201485,-0.023724791549201485,0.9949939874759146
2023-01-04,1,-0.01944114269970798,-0.01944114269970798,0.975650167380044
2023-01-05,0,0.028252868586274182,0.028252868586274182,1.0032150833452087
2023-01-06,0,0.025066210141173162,0.0,1.0032150833452087
2023-01-09,0,0.014342831597928596,0.0,1.0032150833452087
2023-01-10,-1,0.017617110500303568,0.0,1.0032150833452087
2023-01-11,-1,0.011845025626249006,-0.011845025626249006,0.9913319749743452
2023-01-12,-1,0.00900498744636491,-0.00900498744636491,0.9824050429845211
2023-01-13,-1,0.0002231623449033826,-0.0002231623449033826,0.9821858071714838
2023-01-16,-1,0.004684342536144692,-0.004684342536144692,0.9775849124165529
2023-01-17,-1,-0.003108334520485645,0.003108334520485645,0.9806235733465232
2023-01-18,0,-0.01135862180175029,0.01135862180175029,0.9917621056460473
2023-01-19,0,-0.0069834999517039975,-0.0,0.9917621056460473
2023-01-20,-1,0.009074357862205007,0.0,0.9917621056460473
2023-01-23,-1,0.015962209797202753,-0.015962209797202753,0.9759313908468095
2023-01-24,-1,0.022350125402161858,-0.022350125402161858,0.954119201877477
2023-01-25,-1,-0.005627751773524592,0.005627751773524592,0.9594887479079969
2023-01-26,-1,0.007836321748217578,-0.007836321748217578,0.9519698853655953
2023-01-27,-1,-0.0019438478201064813,0.0019438478201064813,0.9538203699520702
2023-01-30,0,-0.01709588684655039,0.01709588684655039,0.9701267750687055
2023-01-31,0,0.004843708268873259,0.0,0.9701267750687055
2023-02-01,0,0.011174455369211467,0.0,0.9701267750687055
2023-02-02,0,0.008017311368392566,0.0,0.9701267750687055
2023-02-03,-1,0.025365440532338912,0.0,0.9701267750687055
2023-02-07,0,-0.03417192960260207,0.03417192960260207,1.0032778789319527
2023-02-08,0,-0.023008495339975066,-0.0,1.0032778789319527
2023-02-09,0,0.0039991182379064405,0.0,1.0032778789319527
2023-02-10,1,-0.005974783491232261,-0.0,1.0032778789319527
2023-02-13,0,0.029830814942336303,0.029830814942336303,1.0332064756741115
2023-02-14,0,-0.014050967029090367,-0.0,1.0332064756741115
2023-02-15,0,-0.0013155310784493945,-0.0,1.0332064756741115
2023-02-16,0,0.000439087993384657,0.0,1.0332064756741115
2023-02-17,0,-0.017116497356164495,-0.0,1.0332064756741115
2023-02-20,0,-0.004688526014292926,-0.0,1.0332064756741115
2023-02-21,1,-0.029834046128912495,-0.0,1.0332064756741115
2023-02-22,1,-0.026589630656159713,-0.026589630656159713,1.0057338970943843
2023-02-23,1,0.006175822937150244,0.006175822937150244,1.0119451315647294
2023-02-24,1,-0.00472145325915263,-0.00472145325915263,1.0071672799252196
2023-02-27,0,0.03415556527326169,0.03415556527326169,1.041567647695799
2023-02-28,0,0.017889968378258292,0.0,1.041567647695799
2023-03-01,0,-0.004055887806300729,-0.0,1.041567647695799
2023-03-02,0,-0.010859717962692805,-0.0,1.041567647695799
2023-03-03,0,0.029734656925053837,0.0,1.041567647695799
2023-03-06,-1,0.0006663433805385033,0.0,1.041567647695799
2023-03-07,0,-0.008878972651626182,0.008878972651626182,1.0508156983545085
2023-03-08,-1,0.007838711358570505,0.0,1.0508156983545085
2023-03-09,-1,0.015777757432725803,-0.015777757432725803,1.0342361831593707
2023-03-10,-1,-0.00896958774062595,0.00896958774062595,1.0435128553487487
2023-03-13,0,0.004415027953815764,-0.004415027953815764,1.0389057169222178
2023-03-14,-1,0.016263773153116334,0.0,1.0389057169222178
2023-03-15,-1,-0.0021626791779493226,0.0021626791779493226,1.041152536684058
2023-03-16,-1,-0.0017338105204953713,0.0017338105204953713,1.0429576979056012
2023-03-17,0,-0.007815905332567263,0.007815905332567263,1.0511093565383036
2023-03-21,-1,0.009627978541869142,0.0,1.0511093565383036
2023-03-22,-1,0.0017338931970736216,-0.0017338931970736216,1.0492868451756214
2023-03-23,0,-0.0032453812617321276,0.0032453812617321276,1.0526921810411365
2023-03-24,-1,0.0060776813794580775,0.0,1.0526921810411365
2023-03-27,-1,0.006041048612989153,-0.006041048612989153,1.0463328164009533
2023-03-28,-1,0.006862528146992286,-0.006862528146992286,1.03915232799728
2023-03-29,0,-0.0031949206270793784,0.0031949206270793784,1.0424723372046762
2023-03-30,0,-0.0014957199992599035,-0.0,1.0424723372046762
2023-03-31,0,0.0034239214418887443,0.0,1.0424723372046762
2023-04-03,0,0.002345929020759252,0.0,1.0424723372046762
2023-04-04,0,0.0031915218272107193,0.0,1.0424723372046762
2023-04-05,0,0.0008482947939698615,0.0,1.0424723372046762
2023-04-10,0,0.00021195457769751513,0.0,1.0424723372046762
2023-04-11,0,-0.008050869957053175,-0.0,1.0424723372046762
2023-04-12,0,-0.027979525455567922,-0.0,1.0424723372046762
2023-04-13,0,0.0008789478576713972,0.0,1.0424723372046762
2023-04-14,1,-0.015587246901532015,-0.0,1.0424723372046762
2023-04-17,1,-0.00758251898820006,-0.00758251898820006,1.0345677709131484
2023-04-18,1,-0.0233708070905021,-0.0233708070905021,1.0103890871170864
2023-04-19,1,-0.004141746639845012,-0.004141746639845012,1.0062043115105832
2023-04-20,1,0.006931678840557565,0.006931678840557565,1.013178996645959
2023-04-21,1,-0.010784791210545763,-0.010784791210545763,1.002252072708222
2023-04-24,1,0.0013917317964347031,0.0013917317964347031,1.0036469387858526
2023-04-25,1,0.0025480800328292474,0.0025480800328292474,1.006204311510583
2023-04-26,1,-0.008548958926074546,-0.008548958926074546,0.9976023121802399
2023-04-27,1,-0.0013983074692235364,-0.0013983074692235364,0.9962073574158036
2023-04-28,1,-0.028704774469926253,-0.028704774469926253,0.9676114498959018
2023-05-02,1,-0.01297446215012732,-0.01297446215012732,0.9550572117631976
2023-05-03,1,0.011927892938873086,0.011927892938873086,0.9664490319356076
2023-05-04,0,0.006013952413647106,0.006013952413647106,0.9722612104238837
2023-05-05,0,0.0031085860608297544,0.0,0.9722612104238837
2023-05-08,0,-0.007628121311190061,-0.0,0.9722612104238837
2023-05-09,0,0.0009607758780652009,0.0,0.9722612104238837
2023-05-10,0,0.0,0.0,0.9722612104238837
2023-05-11,0,0.011999040604053324,0.0,0.9722612104238837
2023-05-12,0,-0.005216917608686811,-0.0,0.9722612104238837
2023-05-15,0,0.01668654946862036,0.0,0.9722612104238837
2023-05-16,0,0.011957756231819827,0.0,0.9722612104238837
2023-05-17,0,-0.0034754755887215216,-0.0,0.9722612104238837
2023-05-18,-1,0.017902824641082837,0.0,0.9722612104238837
2023-05-19,-1,-0.009821843699527988,0.009821843699527988,0.9818106080677811
2023-05-22,-1,0.0016147565695072696,-0.0016147565695072696,0.9802252229383918
2023-05-23,-1,0.0018425111568038943,-0.0018425111568038943,0.9784191470289472
2023-05-24,-1,0.004827565160290925,-0.004827565160290925,0.9736957648425887
2023-05-25,0,-0.03180049001973584,0.03180049001973584,1.0046597672947246
2023-05-26,0,-0.009451831965108126,-0.0,1.0046597672947246
2023-05-29,0,0.007156561661781247,0.0,1.0046597672947246
2023-05-30,0,-0.0030791346365828254,-0.0,1.0046597672947246
2023-05-31,0,-0.007602748720934471,-0.0,1.0046597672947246
2023-06-01,1,-0.02202542431314669,-0.0,1.0046597672947246
2023-06-02,1,-0.0007343642697044128,-0.0007343642697044128,1.003921981058414
2023-06-05,1,-0.01298380164770252,-0.01298380164770252,0.9908872571865829
2023-06-06,0,0.012906439462583075,0.012906439462583075,1.0036760835857066
2023-06-07,0,0.011026633989203782,0.0,1.0036760835857066
2023-06-08,0,-0.010664048584785202,-0.0,1.0036760835857066
2023-06-09,0,0.014208766178120058,0.0,1.0036760835857066
2023-06-12,0,-0.0012078031380399201,-0.0,1.0036760835857066
2023-06-13,0,0.007013323488000545,0.0,1.0036760835857066
2023-06-14,0,0.008405434532868128,0.0,1.0036760835857066
2023-06-15,0,-0.0033342033519732084,-0.0,1.0036760835857066
2023-06-16,0,0.012664339625290122,0.0,1.0036760835857066
2023-06-19,0,-0.0030675097885507485,-0.0,1.0036760835857066
2023-06-20,0,-0.008994108121070599,-0.0,1.0036760835857066
2023-06-21,0,0.000238885514344922,0.0,1.0036760835857066
2023-06-22,0,-0.004536829908318829,-0.0,1.0036760835857066
2023-06-23,0,0.009834489347990472,0.0,1.0036760835857066
2023-06-26,0,-0.001425120208273456,-0.0,1.0036760835857066
2023-06-27,-1,0.020456721970096847,0.0,1.0036760835857066
2023-06-28,0,-0.024475594741515616,0.024475594741515616,1.028241652659302
2023-06-29,0,0.00955798185097323,0.0,1.028241652659302
